bash	acronym	5
bash	allergies	2
bash	hello-world	1
bash	leap	4
bash	protein-translation	3
bash	raindrops	2
bash	reverse-string	1
bash	roman-numerals	2
bash	scrabble-score	2
python	acronym	1
python	affine-cipher	1
python	all-your-base	1
python	allergies	2
python	alphametics	1
python	anagram	1
python	armstrong-numbers	1
python	atbash-cipher	1
python	bank-account	2
python	binary-search-tree	1
python	binary-search	2
python	black-jack	2
python	bob	1
python	book-store	1
python	bottle-song	1
python	bowling	1
python	card-games	2
python	cater-waiter	2
python	chaitanas-colossal-coaster	1
python	change	3
python	circular-buffer	2
python	clock	1
python	collatz-conjecture	1
python	connect	2
python	crypto-square	1
python	currency-exchange	2
python	custom-set	1
python	darts	1
python	diamond	1
python	difference-of-squares	1
python	diffie-hellman	1
python	dnd-character	3
python	dominoes	1
python	eliuds-eggs	1
python	ellens-alien-game	2
python	etl	1
python	flatten-array	1
python	food-chain	2
python	forth	1
python	ghost-gobble-arcade-game	1
python	gigasecond	3
python	go-counting	1
python	grains	1
python	grep	1
python	guidos-gorgeous-lasagna	2
python	hamming	2
python	hangman	2
python	hello-world	1
python	house	2
python	inventory-management	2
python	isbn-verifier	1
python	isogram	2
python	killer-sudoku-helper	1
python	knapsack	1
python	largest-series-product	1
python	leap	1
python	ledger	1
python	linked-list	1
python	list-ops	2
python	little-sisters-essay	3
python	little-sisters-vocab	1
python	locomotive-engineer	1
python	luhn	1
python	making-the-grade	4
python	markdown	1
python	matching-brackets	1
python	matrix	1
python	matrix	2
python	mecha-munch-management	2
python	meetup	1
python	meltdown-mitigation	3
python	minesweeper	1
python	nth-prime	2
python	ocr-numbers	1
python	paasio	1
python	palindrome-products	1
python	pangram	2
python	pascals-triangle	1
python	perfect-numbers	1
python	phone-number	1
python	pig-latin	1
python	poker	2
python	prime-factors	1
python	protein-translation	1
python	proverb	1
python	pythagorean-triplet	2
python	queen-attack	2
python	rail-fence-cipher	1
python	raindrops	1
python	rational-numbers	3
python	rectangles	1
python	resistor-color-duo	2
python	resistor-color-expert	1
python	resistor-color-trio	2
python	resistor-color	1
python	rest-api	1
python	reverse-string	1
python	rna-transcription	1
python	robot-name	3
python	robot-simulator	1
python	roman-numerals	1
python	rotational-cipher	1
python	run-length-encoding	2
python	saddle-points	1
python	satellite	1
python	say	1
python	scale-generator	1
python	scrabble-score	2
python	secret-handshake	1
python	series	1
python	sgf-parsing	1
python	sieve	2
python	simple-cipher	2
python	simple-linked-list	1
python	space-age	3
python	spiral-matrix	3
python	square-root	1
python	sublist	1
python	sum-of-multiples	1
python	tisbury-treasure-hunt	1
python	tournament	2
python	transpose	2
python	tree-building	1
python	triangle	1
python	twelve-days	1
python	two-bucket	1
python	two-fer	2
python	variable-length-quantity	1
python	word-count	1
python	word-search	1
python	wordy	1
python	yacht	1
python	zebra-puzzle	1
python	zipper	1
